state,name,picture,href
Maine,Angus King,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Angus_King%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/95px-Angus_King%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Angus_King
Maryland,Ben Cardin,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Ben_Cardin_official_Senate_portrait_%28cropped%29.jpg/95px-Ben_Cardin_official_Senate_portrait_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Ben_Cardin
Maryland,Chris Van Hollen,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Chris_Van_Hollen_official_portrait_115th_Congress_%28cropped%29.jpg/95px-Chris_Van_Hollen_official_portrait_115th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Chris_Van_Hollen
Massachusetts,Elizabeth Warren,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Elizabeth_Warren%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg/95px-Elizabeth_Warren%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Elizabeth_Warren
Massachusetts,Ed Markey,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Edward_Markey%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg/95px-Edward_Markey%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Ed_Markey
Michigan,Debbie Stabenow,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Debbie_Stabenow%2C_official_photo%2C_116th_Congress_%28cropped%29.jpg/95px-Debbie_Stabenow%2C_official_photo%2C_116th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Debbie_Stabenow
Michigan,Gary Peters,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Gary_Peters_official_photo_115th_congress_%28cropped%29.jpg/95px-Gary_Peters_official_photo_115th_congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Gary_Peters
Minnesota,Amy Klobuchar,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Amy_Klobuchar%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/95px-Amy_Klobuchar%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Amy_Klobuchar
Minnesota,Tina Smith,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Tina_Smith%2C_official_portrait%2C_116th_congress_%28cropped%29.jpg/95px-Tina_Smith%2C_official_portrait%2C_116th_congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Tina_Smith
Mississippi,Roger Wicker,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Roger_F._Wicker_crop.jpg/95px-Roger_F._Wicker_crop.jpg,https://en.wikipedia.org/wiki/wiki/Roger_Wicker
